Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
NVDA250919P00142000,NVDA250919P00142000,Buy,Filled,1,1,@0.360,0.360,GTC,09/02/2025 15:43:19 EDT,09/02/2025 15:43:40 EDT
NKE250926P00070000,NKE250926P00070000,Buy,Filled,1,1,@0.760,0.760,GTC,09/02/2025 15:42:35 EDT,09/02/2025 15:50:11 EDT
MARA250926C00017000,MARA250926C00017000,Sell,Filled,1,1,@0.770,0.770,DAY,09/02/2025 09:39:21 EDT,09/02/2025 09:40:47 EDT
MARA250926C00017000,MARA250926C00017000,Sell,Cancelled,0,1,0.700,,DAY,09/02/2025 09:37:43 EDT,
MARA250926C00017000,MARA250926C00017000,Sell,Cancelled,0,1,@0.900,,DAY,09/02/2025 09:37:43 EDT,
MARA250926C00017000,MARA250926C00017000,Sell,Cancelled,0,1,@0.780,,DAY,08/29/2025 14:06:06 EDT,
SPXW250829P06420000,SPXW250829P06420000,Sell,Filled,1,1,@0.450,0.450,DAY,08/29/2025 13:58:56 EDT,08/29/2025 13:59:49 EDT
SPXW250829P06420000,SPXW250829P06420000,Buy,Filled,1,1,@0.400,0.400,DAY,08/29/2025 13:56:30 EDT,08/29/2025 13:56:51 EDT
MARA250926C00017000,MARA250926C00017000,Buy,Filled,1,1,@0.770,0.770,DAY,08/29/2025 13:52:31 EDT,08/29/2025 13:52:44 EDT
BMY250926C00049000,BMY250926C00049000,Sell,Filled,1,1,@0.640,0.640,DAY,08/28/2025 10:03:01 EDT,08/28/2025 11:14:59 EDT
BMY250926C00049000,BMY250926C00049000,Buy,Filled,1,1,@0.810,0.810,DAY,08/28/2025 10:00:25 EDT,08/28/2025 10:02:04 EDT
BMY250926C00049000,BMY250926C00049000,Buy,Cancelled,0,1,@0.830,,DAY,08/28/2025 09:54:05 EDT,
BMY250926C00049000,BMY250926C00049000,Sell,Filled,1,1,@0.810,0.810,DAY,08/28/2025 09:37:11 EDT,08/28/2025 09:37:35 EDT
BMY250926C00049000,BMY250926C00049000,Sell,Cancelled,0,1,@0.970,,DAY,08/28/2025 09:33:31 EDT,
BMY250926C00049000,BMY250926C00049000,Buy,Filled,1,1,@0.880,0.880,DAY,08/27/2025 12:17:41 EDT,08/27/2025 12:17:55 EDT
MARA250919P00014000,MARA250919P00014000,Sell,Filled,2,2,@0.280,0.280,DAY,08/27/2025 10:10:12 EDT,08/27/2025 10:22:20 EDT
MARA250919P00014000,MARA250919P00014000,Buy,Filled,2,2,@0.340,0.340,DAY,08/26/2025 15:56:51 EDT,08/26/2025 15:56:51 EDT
MARA250919P00014000,MARA250919P00014000,Sell,Filled,1,1,@0.400,0.400,DAY,08/26/2025 10:28:32 EDT,08/26/2025 10:29:08 EDT
MARA250919P00014000,MARA250919P00014000,Buy,Filled,1,1,@0.400,0.400,DAY,08/25/2025 15:12:13 EDT,08/25/2025 15:14:26 EDT
MARA250919C00017500,MARA250919C00017500,Sell,Filled,1,1,@0.390,0.390,DAY,08/25/2025 09:33:57 EDT,08/25/2025 09:34:08 EDT
MARA250919C00017500,MARA250919C00017500,Buy,Filled,1,1,@0.640,0.640,DAY,08/22/2025 15:59:45 EDT,08/22/2025 15:59:45 EDT
SBUX250919C00094000,SBUX250919C00094000,Sell,Filled,1,1,@0.850,0.850,DAY,08/22/2025 15:54:20 EDT,08/22/2025 15:54:38 EDT
SBUX250919C00094000,SBUX250919C00094000,Buy,Filled,1,1,@0.900,0.900,DAY,08/22/2025 15:33:14 EDT,08/22/2025 15:35:15 EDT
MARA250919P00014000,MARA250919P00014000,Sell,Filled,1,1,@0.430,0.430,DAY,08/22/2025 09:54:35 EDT,08/22/2025 09:54:48 EDT
MARA250919P00014000,MARA250919P00014000,Buy,Filled,1,1,@0.590,0.590,DAY,08/20/2025 14:54:47 EDT,08/20/2025 14:54:47 EDT
BBY250919C00080000,BBY250919C00080000,Sell,Filled,1,1,@1.86,1.86,DAY,08/19/2025 13:08:41 EDT,08/19/2025 13:08:42 EDT
BBY250919C00080000,BBY250919C00080000,Sell,Cancelled,0,1,@3.00,,GTC,08/18/2025 11:31:48 EDT,
BBY250919C00080000,BBY250919C00080000,Sell,Cancelled,0,1,1.85,,GTC,08/18/2025 11:31:48 EDT,
BBY250919C00080000,BBY250919C00080000,Buy,Filled,1,1,@1.15,1.15,GTC,08/15/2025 15:52:58 EDT,08/15/2025 15:53:46 EDT
BAC250912P00046000,BAC250912P00046000,Sell,Filled,1,1,@0.560,0.560,DAY,08/15/2025 09:31:49 EDT,08/15/2025 09:31:59 EDT
BAC250912P00046000,BAC250912P00046000,Buy,Filled,1,1,@0.720,0.720,DAY,08/13/2025 15:01:29 EDT,08/13/2025 15:01:29 EDT
CMG250912C00044000,CMG250912C00044000,Sell,Filled,1,1,@0.900,0.900,DAY,08/13/2025 09:50:45 EDT,08/13/2025 09:53:54 EDT
